year,company_name,PE ratio,PB Ratio,FCF,Total Debt,Sh Equity,ROA,ROE
2013,Apple,11.95,3.57,44590.00,16960.00,123549.00,19.34,30.64
2014,Apple,15.56,5.50,49900.00,35295.00,111547.00,18.01,33.61
2015,Apple,11.93,5.32,69778.00,64328.00,119355.00,20.45,46.25
2016,Apple,13.59,4.82,53200.00,87032.00,128249.00,14.93,36.90
2017,Apple,16.63,5.99,51774.00,115680.00,134047.00,13.87,36.87
2018,Apple,18.99,10.51,64121.00,114483.00,107147.00,16.07,49.36
2019,Apple,18.76,11.43,58896.00,108047.00,90488.00,15.69,55.92
2020,Apple,35.12,30.76,73365.00,112436.00,65339.00,17.33,73.69
2021,Apple,24.96,37.46,92953.00,124719.00,63090.00,28.06,147.44
2022,Apple,22.51,44.23,111443.00,120069.00,50672.00,28.36,175.46
2013,Microsoft,13.22,3.65,24576.00,15600.00,78944.00,16.58,30.09
2014,Microsoft,15.68,3.85,27017.00,22645.00,89784.00,14.02,26.17
2015,Microsoft,30.03,4.51,23724.00,35292.00,80083.00,7.03,14.36
2016,Microsoft,24.48,5.63,24982.00,53461.00,71997.00,11.16,27.01
2017,Microsoft,25.25,6.09,31378.00,86194.00,87711.00,11.49,31.92
2018,Microsoft,46.73,9.31,32252.00,87508.00,82718.00,6.51,19.45
2019,Microsoft,26.55,10.17,38260.00,86455.00,102330.00,14.39,42.41
2020,Microsoft,34.97,13.09,45234.00,82110.00,118304.00,15.06,40.14
2021,Microsoft,33.32,14.40,56118.00,82278.00,141988.00,19.30,47.08
2022,Microsoft,26.48,11.56,65149.00,78400.00,166542.00,20.82,47.15
2013,Alphabet Google,14.41,4.26,11301.00,2236.00,87309.00,12.44,16.01
2014,Alphabet Google,24.65,3.42,12065.00,3228.00,103860.00,11.77,14.79
2015,Alphabet Google,32.68,4.32,16657.00,1995.00,120331.00,11.44,14.12
2016,Alphabet Google,27.86,3.89,26064.00,3935.00,139036.00,12.37,15.02
2017,Alphabet Google,58.45,4.84,23907.00,3969.00,152502.00,6.94,8.69
2018,Alphabet Google,23.42,4.05,22832.00,4012.00,177628.00,14.29,18.62
2019,Alphabet Google,26.96,4.60,30972.00,5753.00,201442.00,13.50,18.12
2020,Alphabet Google,29.56,5.36,42843.00,16726.00,222544.00,13.52,19.00
2021,Alphabet Google,25.40,7.68,67012.00,17119.00,251635.00,22.40,32.07
2022,Alphabet Google,19.52,4.57,60010.00,14701.00,256144.00,16.55,23.62
2013,Amazon,675.93,18.70,2031.00,3191.00,9746.00,0.75,3.05
2014,Amazon,0.00,13.35,1949.00,8265.00,10741.00,0.51,2.35
2015,Amazon,527.97,23.58,7450.00,8227.00,13384.00,1.00,4.94
2016,Amazon,150.72,18.52,10466.00,12891.00,19285.00,3.20,14.52
2017,Amazon,188.43,20.60,8307.00,30925.00,27709.00,2.83,12.91
2018,Amazon,72.70,16.80,19400.00,32997.00,43549.00,6.85,28.27
2019,Amazon,78.80,14.71,25825.00,37744.00,62060.00,5.97,21.95
